"samp_session","id","treatment","prior_temp_24","prior_temp_26","prior_temp_28","prior_temp_30","prior_temp_32","prior_temp_34","lnmass_24","lnmass_26","lnmass_28","lnmass_30","lnmass_32","lnmass_34","z_lnmass_24","z_lnmass_26","z_lnmass_28","z_lnmass_30","z_lnmass_32","z_lnmass_34","lnmr_24","lnmr_26","lnmr_28","lnmr_30","lnmr_32","lnmr_34"
1,"ld0449",29,23.9,30,NA,35.4,24,NA,-1.54646311327271,-1.46101790731583,NA,-1.46101790731583,-1.54646311327271,NA,-0.502682575449845,-0.0900712936809144,NA,-0.0900712936809144,-0.502682575449845,NA,-6.86383410332646,-6.38270510694786,NA,-5.75400215343941,-6.08619170401761,NA
1,"ld0449",29,23.9,30,NA,35.4,24,NA,-1.54646311327271,-1.46101790731583,NA,-1.46101790731583,-1.54646311327271,NA,-0.502682575449845,-0.0900712936809144,NA,-0.0900712936809144,-0.502682575449845,NA,-6.75921902191859,-6.36452278786467,NA,-5.85749176116143,-6.1359037284692,NA
2,"ld0449",29,34,25.5,NA,26,NA,25.3,-1.51868354916564,-1.55589714550607,NA,-1.55589714550607,NA,-1.51868354916564,-0.368536236578751,-0.548239117662636,NA,-0.548239117662636,NA,-0.368536236578751,-6.47376997967426,-6.95384335713668,NA,-5.76402084450566,NA,-5.83537554494528
2,"ld0449",29,34,25.5,NA,26,NA,25.3,-1.51868354916564,-1.55589714550607,NA,-1.55589714550607,NA,-1.51868354916564,-0.368536236578751,-0.548239117662636,NA,-0.548239117662636,NA,-0.368536236578751,-6.31559888311259,-6.43094862135319,NA,-5.80386675305286,NA,-6.20291561875311
3,"ld0449",29,NA,30,18,21.9,NA,28,NA,-1.43969513784701,-1.50959257746438,-1.43969513784701,NA,-1.50959257746438,NA,0.0128954572662731,-0.32463631915013,0.0128954572662731,NA,-0.32463631915013,NA,-6.91394954342791,-6.77063564828213,NA,NA,-5.83887717262452
3,"ld0449",29,NA,30,18,21.9,NA,28,NA,-1.43969513784701,-1.50959257746438,-1.43969513784701,NA,-1.50959257746438,NA,0.0128954572662731,-0.32463631915013,0.0128954572662731,NA,-0.32463631915013,NA,-6.31601627002808,-6.36761922702948,NA,NA,-5.89017046701207
4,"ld0449",29,NA,34,19.4,NA,28,17.9,NA,-1.41058705368894,-1.42711635564015,NA,-1.42711635564015,-1.41058705368894,NA,0.153457163213355,0.0736378639506656,NA,0.0736378639506656,0.153457163213355,NA,-6.18227040183068,-5.90241068788812,NA,-5.74442671233352,-5.89401507551444
4,"ld0449",29,NA,34,19.4,NA,28,17.9,NA,-1.41058705368894,-1.42711635564015,NA,-1.42711635564015,-1.41058705368894,NA,0.153457163213355,0.0736378639506656,NA,0.0736378639506656,0.153457163213355,NA,-6.23170385968586,-5.65373077323961,NA,-5.8580931369397,-5.65272727207683
5,"ld0449",29,17.2,NA,32,24,25.5,NA,-1.41469383564159,NA,-1.44392347395653,-1.41469383564159,-1.44392347395653,NA,0.133625687047391,NA,-0.00752299877653467,0.133625687047391,-0.00752299877653467,NA,-6.44818151775068,NA,-6.11541473412233,-6.18471398712016,-6.07114132798811,NA
5,"ld0449",29,17.2,NA,32,24,25.5,NA,-1.41469383564159,NA,-1.44392347395653,-1.41469383564159,-1.44392347395653,NA,0.133625687047391,NA,-0.00752299877653467,0.133625687047391,-0.00752299877653467,NA,-6.61897858869268,NA,-5.89227118280812,-6.10028530750337,-5.71131014786794,NA
