liz_id,egg_incub_temp,liz_hatch_date,egg_tub_id,egg_clutch_id,liz_egg_id,liz_notes
ld0447,29,26/11/2017,e044,c0074,egg0226,
ld0448,29,26/11/2017,e0m6,c0070,egg0220,
ld0449,29,28/11/2017,e044,c0074,egg0227,
ld0450,29,02/12/2017,e0m8,c0078,egg0237,
ld0451,29,04/12/2017,e045,c0080,egg0244,
ld0454,29,08/12/2017,e0m8,c0078,egg0236,
ld0455,29,08/12/2017,e043,c0081,egg0247,
ld0457,29,09/12/2017,e026,c0082,egg0249,
ld0458,29,10/12/2017,e026,c0084,egg0252,
ld0460,23,14/12/2017,e044,c0074,egg0228,
ld0461,23,15/12/2017,e029,c0083,egg0251,
ld0462,23,15/12/2017,e0m6,c0067,egg0215,
ld0463,23,15/12/2017,e035,c0093,egg0275,
ld0464,29,15/12/2017,e001,c0087,egg0261,
ld0465,23,16/12/2017,e0m6,c0070,egg0219,
ld0466,29,18/12/2017,e001,c0087,egg0258,
ld0469,29,19/12/2017,e006,c0095,egg0277,
ld0470,29,19/12/2017,e0m2a,c0097,egg0282,
ld0471,29,19/12/2017,e0m1b,c0090,egg0265,
ld0472,29,19/12/2017,e0m1b,c0090,egg0264,
ld0473,29,19/12/2017,e0m6,c0091,egg0268,
ld0474,29,20/12/2017,e0m2a,c0097,egg0284,
ld0476,23,21/12/2017,e045,c0080,egg0245,
ld0477,23,22/12/2017,e0m8,c0078,egg0238,
ld0478,23,22/12/2017,e035,c0077,egg0231,
ld0479,23,22/12/2017,e0m8,c0078,egg0235,
ld0481,23,22/12/2017,e045,c0080,egg0242,
ld0483,23,24/12/2017,e045,c0080,egg0243,
ld0484,29,27/12/2017,e014,c0099,egg0287,
ld0485,29,27/12/2017,e014,c0099,egg0288,
ld0486,29,28/12/2017,e040,c0100,egg0292,
ld0482,29,28/12/2017,e040,c0100,egg0291,
ld0487,23,29/12/2017,e026,c0082,egg0248,
ld0488,29,07/01/2018,c043,c0107,egg0310,
ld0489,29,07/01/2018,e0m8,c0108,egg0312,
ld0490,23,07/01/2018,e0043,c0088,egg0262,
ld0491,23,07/01/2018,e006,c0095,egg0279,
ld0492,23,07/01/2018,e0m6,c0091,egg0270,
ld0493,29,05/01/2018,c043,c0103,egg0302,
ld0499,23,08/01/2018,e0m1b,c0090,egg0266,
ld0494,23,05/01/2018,e001,c0087,egg0260,
ld0495,29,05/01/2018,e043,c0103,egg0301,
ld0496,23,05/01/2018,e0m6,c0091,egg0271,
ld0497,23,06/01/2018,e0m2a,c0097,egg0283,
ld0507,23,09/01/2018,e0m1b,c0090,egg0267,
ld0500,29,09/01/2018,e001,c0119,egg0338,
ld0501,29,09/01/2018,e044,c0109,egg0317,
ld0502,29,09/01/2018,e026,c114,egg0331,
ld0503,29,09/01/2018,e044,c0109,egg0316,
ld0504,29,09/01/2018,e037,c112,egg0326,
ld0505,29,10/01/2018,e048,c0118,egg0335,
ld0508,29,10/01/2018,e037,c113,egg0327,
ld0509,29,11/01/2018,e006,c0123,egg0349,
ld0510,29,11/01/2018,e006,c0123,egg0347,
ld0511,29,15/01/2018,e045,c0125,egg0353,
ld0512,29,15/01/2018,e045,c0125,egg0356,
ld0513,23,16/01/2018,e014,c0099,egg0290,
ld0514,23,17/01/2018,e014,c0099,egg0289,
ld0515,23,18/01/2018,e040,c0100,egg0294,
ld0517,23,20/01/2018,e040,c0100,egg0293,No hathc bd measures
ld0519,23,25/01/2018,e043,c0103,egg0300,
ld0520,29,25/01/2018,e040,c0132,egg0372,
ld0521,23,26/01/2018,e043,c0107,egg0308,
ld0522,23,27/01/2018,e0m8,c0108,egg0314,
ld0523,23,27/01/2018,e0m8,c0108,egg0313,
ld0524,29,28/01/2018,e040,c0129,egg0367,
ld0525,23,28/01/2018,c043,c0107,egg0309,
ld0526,23,29/01/2018,e026,c114,egg0329,
ld0527,23,29/01/2018,c043,c0107,egg0311,
ld0528,23,29/01/2018,e044,c0109,"egg0315
",
ld0529,23,30/01/2018,e037,c112,egg0324,
ld0530,23,30/01/2018,e001,c0119,egg0340,
ld0531,23,31/01/2018,e006,c0123,egg0350,
ld0532,23,31/01/2018,e001,c0119,egg0340,
ld0533,23,31/01/2018,e001,c0119,egg0339,
ld0534,23,31/01/2018,e048,c0118,egg0336,
ld0535,23,31/01/2018,e037,c112,egg0325,
ld0536,23,03/02/2018,e045,c0125,egg0354,
ld0537,23,04/02/2018,e0m2a,c0120,egg0343,
ld0538,23,05/02/2018,e0m2a,c0120,egg0341,
ld0539,23,05/02/2018,e045,c0125,egg0355,
ld0540,29,07/02/2018,e037,c0134,egg0374,
ld0541,29,08/02/2018,e037,c0134,egg0376,
ld0543,23,10/02/2018,e025,c0126,egg0359,
ld0544,23,13/02/2018,e040,c0129,egg0366,
ld0545,23,14/02/2018,e040,c0129,egg0368,
ld0546,29,19/02/2018,e029,c0136,egg0383,
ld0547,23,28/02/2018,e037,c0134,egg0377,
ld0548,23,01/03/2018,e037,c0134,egg0375,
ld0549,23,01/03/2018,e037,c0134,egg0378,
ld0550,29,02/03/2018,e043,c0138,egg0386,
ld0551,29,06/03/2018,e0m1a,c0139,"egg0389
",
ld0552,29,06/03/2018,e0m1a,c0138,egg0391,
ld0553,23,12/03/2018,e034,c0137,"egg0385
",
